Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Gayatri Projects,Construction,10.60,2.02,0.00,1.47
Thermax,Engineering,39.76,1.28,0.00,1.28
Torrent Pharmaceuticals,Healthcare,58.21,2.42,0.00,1.13
30. HSBC Multi Cap Equity Fund - Direct Plan
HDFC Bank,Financial,29.06,10.36,8.81,9.74
ICICI Bank,Financial,54.91,9.89,4.89,9.64
Reliance Industries,Energy,21.20,9.06,3.36,9.06
Kotak Mahindra Bank,Financial,37.66,6.52,0.00,6.52
Bajaj Finance,Financial,48.01,6.42,2.99,6.42
HDFC,Financial,34.48,9.44,0.00,5.60
Larsen & Toubro,Construction,21.90,5.01,0.00,5.01
Infosys,Technology,17.88,6.40,2.33,3.65
ITC,FMCG,24.04,5.27,0.00,3.53
HCL Technologies,Technology,14.95,4.01,1.75,3.06
Indian Hotels,Services,65.94,2.90,0.00,2.90
Axis Bank,Financial,45.64,6.24,0.00,2.33
Orient Electric,Engineering,50.49,2.25,0.00,2.25
Supreme Industries,Chemicals,38.21,2.83,1.48,2.10
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.76,2.10,0.00,2.10
Asian Paints,Chemicals,65.80,2.00,0.00,2.00
ICICI Securities,Financial,20.75,1.99,0.00,1.97
Vinati Organics,Chemicals,36.66,2.63,1.05,1.95
DLF,Construction,27.76,2.03,0.00,1.76
Vedanta,Metals,7.91,4.20,0.00,1.75
Lupin,Healthcare,47.02,1.74,0.00,1.62
Prestige Estates Projects,Construction,28.59,1.59,0.00,1.51
Gayatri Projects,Construction,10.60,2.02,0.00,1.47
Thermax,Engineering,39.76,1.28,0.00,1.28
Torrent Pharmaceuticals,Healthcare,58.21,2.42,0.00,1.13
31. HSBC Regular Savings Fund
ICICI Bank,Financial,54.91,3.96,1.65,3.42
HDFC Bank,Financial,29.06,2.91,2.03,2.84
Axis Bank,Financial,45.64,1.61,0.00,1.61
Larsen & Toubro,Construction,21.90,1.25,0.00,1.25
Reliance Industries,Energy,21.20,1.25,0.00,1.25
Maruti Suzuki India,Automobile,32.03,1.40,0.88,1.21
ACC,Construction,15.67,1.13,0.00,1.13
Crompton Greaves Consumer Electricals,Cons Durable,39.54,1.01,0.52,1.01
Sun Pharmaceutical Inds.,Healthcare,32.00,1.02,0.33,0.89
Infosys,Technology,17.88,1.20,0.51,0.87
Federal Bank,Financial,11.02,0.95,0.43,0.83
GSK Consumer Healthcare,FMCG,36.79,0.99,0.00,0.80
Torrent Pharmaceuticals,Healthcare,58.21,0.80,0.00,0.78
Apollo Hospitals,Healthcare,65.82,0.86,0.00,0.72
Bharti Airtel,Communication,0.00,1.19,0.00,0.71
Heritage Foods,FMCG,18.26,0.83,0.41,0.68
Finolex Cables,Engineering,17.19,0.79,0.00,0.66
